or_minutes,n,sharpe,max_dd,profit_factor,net_pnl_usd
5,186,-3.763636939636353,0.008958257756777848,0.5375576763247623,-80.67999999999995
10,187,-3.674925952355291,0.008774109676370753,0.5511366538952697,-87.86500000000063
15,189,-5.28186403052481,0.011347492905629256,0.4485737728654826,-114.25000000000068
30,189,-3.056834677986125,0.009491377336856146,0.611226903351204,-83.00500000000113
