label,n,sharpe,sortino,calmar,max_dd,longest_dd_days,profit_factor,expectancy_r,dsr_pvalue,ci_lo,ci_hi,total_net_pnl,candidate,window
S1a (replication),1414,-4.115001837151354,-13.61817679840789,-0.1832608015872058,0.06608448239220935,1413,0.48670650990029957,0.06276304090017058,0.9999999999992082,-5.501670569044036,-3.0118429345844806,-661.6619999999989,S1a,replication
S1a (pure_oos),186,-3.763636939636353,-15.382931744653103,-1.20214007072183,0.008958257756777848,176,0.5375576763247623,-0.014808438111715389,0.9985137845863407,-7.690865383081321,-1.1281324246988889,-80.67999999999995,S1a,pure_oos
S1b (replication),1414,-4.167842018775685,-13.689889976004055,-0.18328912899851912,0.06644051354493516,1413,0.48394479043514155,0.06005601790249939,0.9999999999997107,-5.548352768707008,-3.0624966135047313,-665.2219999999998,S1b,replication
S1b (pure_oos),186,-3.827863676341667,-15.514342223665658,-1.1981586356185083,0.009065835232041965,176,0.5336027283409301,-0.01872218536572906,0.9986853010457273,-7.777485595487164,-1.1791932170579338,-81.36999999999921,S1b,pure_oos
