candidate,quarter,n,net_pnl_usd,equity_pct,fragile_flag
S1a,2024Q2,61,-32.945000000000334,-0.0032945000000000335,False
S1a,2024Q3,62,-26.310000000000002,-0.002631,False
S1a,2024Q4,63,-21.424999999999613,-0.0021424999999999613,False
S1b,2024Q2,61,-32.554999999999666,-0.0032554999999999668,False
S1b,2024Q3,62,-27.38999999999993,-0.0027389999999999927,False
S1b,2024Q4,63,-21.424999999999613,-0.0021424999999999613,False
